ID	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
FG_SL25_R	6.33	3	141.57	31.33	3.96	0.0824997	0.3521681	-0.540946	1.0317514	0.0640902
FG_SL31_L	6.17	3.5	144.37	29.89	3.79	-0.043725	0.8033254	-0.513383	0.8336405	-0.610803
FG_SL31_R	6.17	3.5	144.37	29.89	3.79	-0.043725	0.8033254	-0.513383	0.8336405	-0.610803
FG_SL32_L	6.33	4.33	135.93	26.28	4.31	0.0824997	1.5522465	-0.596466	0.3369873	1.4535772
FG_SL32_R	6.33	4.33	135.93	26.28	4.31	0.0824997	1.5522465	-0.596466	0.3369873	1.4535772
FG_SL33_L	6.67	3.5	480.44	21.97	3.96	0.3507268	0.8033254	2.7948875	-0.25597	0.0640902
FG_SL33_R	6.67	3.5	480.44	21.97	3.96	0.3507268	0.8033254	2.7948875	-0.25597	0.0640902
FG_SL34_L	4.33	1	126.2	25.59	4.13	-1.495307	-1.452461	-0.692248	0.2420592	0.7389839
FG_SL34_R	4.33	1	126.2	25.59	4.13	-1.495307	-1.452461	-0.692248	0.2420592	0.7389839
FG_SL35_L	5.17	2.67	130.72	26.93	3.96	-0.832628	0.0544043	-0.647753	0.4264124	0.0640902
FG_SL35_R	5.17	2.67	130.72	26.93	3.96	-0.832628	0.0544043	-0.647753	0.4264124	0.0640902
FG_SL37_L	6	3.67	495.88	25.47	3.96	-0.177838	0.9567189	2.9468788	0.2255499	0.0640902
FG_SL37_R	6	3.67	495.88	25.47	3.96	-0.177838	0.9567189	2.9468788	0.2255499	0.0640902
FG_SL40_L	6.5	3.5	280.58	24.14	4.13	0.2166133	0.8033254	0.8274673	0.0425725	0.7389839
FG_SL41_L	6	4.83	135.13	25.82	3.79	-0.177838	2.0034038	-0.604341	0.2737019	-0.610803
FG_SL41_R	6	4.83	135.13	25.82	3.79	-0.177838	2.0034038	-0.604341	0.2737019	-0.610803
FG_SL42_L	6.5	3	142	22.5	3.96	0.2166133	0.3521681	-0.536713	-0.183054	0.0640902
FG_SL52_L	7.17	3.83	322.4	32.12	3.62	0.7451785	1.1010892	1.2391431	1.1404373	-1.285697
FG_SL52_R	7.17	3.83	322.4	32.12	3.62	0.7451785	1.1010892	1.2391431	1.1404373	-1.285697
FG_TA01_L	6.33	2	241.03	29.05	3.27	0.0824997	-0.550147	0.4381374	0.7180757	-2.675184
FG_TA01_R	6.33	2	241.03	29.05	3.27	0.0824997	-0.550147	0.4381374	0.7180757	-2.675184
FG_TA03_L	5.33	1	260.52	34.21	3.45	-0.706404	-1.452461	0.6299968	1.4279733	-1.960591
FG_TA03_R	5.33	1	260.52	34.21	3.45	-0.706404	-1.452461	0.6299968	1.4279733	-1.960591
FG_TA08_L	6.17	2.83	329.28	38.08	3.27	-0.043725	0.1987746	1.3068697	1.9603965	-2.675184
FG_TA08_R	6.17	2.83	329.28	38.08	3.27	-0.043725	0.1987746	1.3068697	1.9603965	-2.675184
FG_TA09_L	7.33	2.67	261.55	24.51	3.45	0.871403	0.0544043	0.6401361	0.093476	-1.960591
FG_TA09_R	7.33	2.67	261.55	24.51	3.45	0.871403	0.0544043	0.6401361	0.093476	-1.960591
FG_TA10_L	7.17	3.83	150.27	40.49	3.62	0.7451785	1.1010892	-0.455303	2.2919571	-1.285697
FG_TA10_R	7.17	3.83	150.27	40.49	3.62	0.7451785	1.1010892	-0.455303	2.2919571	-1.285697
FG_TA11_L	6.83	3.33	223.07	27.37	3.45	0.4769514	0.6499319	0.2613393	0.4869463	-1.960591
FG_TA11_R	6.83	3.33	223.07	27.37	3.45	0.4769514	0.6499319	0.2613393	0.4869463	-1.960591
FG_TA13_L	6.33	3	253.15	44.75	3.45	0.0824997	0.3521681	0.5574466	2.8780354	-1.960591
FG_TA13_R	6.33	3	253.15	44.75	3.45	0.0824997	0.3521681	0.5574466	2.8780354	-1.960591
FG_TA14_L	6.83	3.5	209.97	39.37	3.27	0.4769514	0.8033254	0.132383	2.1378709	-2.675184
FG_TA14_R	6.83	3.5	209.97	39.37	3.27	0.4769514	0.8033254	0.132383	2.1378709	-2.675184
FG_TA15_L	6	2.83	200.03	29.12	3.45	-0.177838	0.1987746	0.0345338	0.7277061	-1.960591
FG_TA15_R	6	2.83	200.03	29.12	3.45	-0.177838	0.1987746	0.0345338	0.7277061	-1.960591
FG_TA18_L	7.83	3.33	327.53	32.99	3.96	1.2658547	0.6499319	1.2896427	1.2601293	0.0640902
FG_TA18_R	7.83	3.33	327.53	32.99	3.96	1.2658547	0.6499319	1.2896427	1.2601293	0.0640902
FG_TA21_L	7.5	3.5	348.18	27.47	3.45	1.0055166	0.8033254	1.4929212	0.500704	-1.960591
FG_TA21_R	7.5	3.5	348.18	27.47	3.45	1.0055166	0.8033254	1.4929212	0.500704	-1.960591
FG_TA22_L	6.67	2	250.47	26.78	3.45	0.3507268	-0.550147	0.5310647	0.4057759	-1.960591
FG_TA22_R	6.67	2	250.47	26.78	3.45	0.3507268	-0.550147	0.5310647	0.4057759	-1.960591
FG_TA23_L	8	1.83	333.5	40.54	3.45	1.3999683	-0.70354	1.3484114	2.298836	-1.960591
FG_TA23_R	8	1.83	333.5	40.54	3.45	1.3999683	-0.70354	1.3484114	2.298836	-1.960591
FG_TA24_L	6.83	2	311.12	27.99	3.62	0.4769514	-0.550147	1.1281028	0.5722441	-1.285697
FG_TA24_R	6.83	2	311.12	27.99	3.62	0.4769514	-0.550147	1.1281028	0.5722441	-1.285697
FG_TA25_L	9	3	384.07	30.07	3.45	2.1888716	0.3521681	1.846222	0.8584043	-1.960591
FG_TA25_R	9	3	384.07	30.07	3.45	2.1888716	0.3521681	1.846222	0.8584043	-1.960591
FG_TA26_L	6.83	3	211.9	32.6	3.45	0.4769514	0.3521681	0.1513819	1.2064743	-1.960591
FG_TA26_R	6.83	3	211.9	32.6	3.45	0.4769514	0.3521681	0.1513819	1.2064743	-1.960591
FG_TA29_L	7.17	2.33	167.57	31.35	3.79	0.7451785	-0.252383	-0.285002	1.034503	-0.610803
FG_TA29_R	7.17	2.33	167.57	31.35	3.79	0.7451785	-0.252383	-0.285002	1.034503	-0.610803
FG_WA05_L	10.5	2.33	587.25	35.68	3.27	3.3722266	-0.252383	3.8463243	1.6302116	-2.675184
FG_WA05_R	10.5	2.33	587.25	35.68	3.27	3.3722266	-0.252383	3.8463243	1.6302116	-2.675184
FG_WA14_L	8	2.67	470.6	44.23	3.79	1.3999683	0.0544043	2.6980227	2.8064953	-0.610803
FG_WA18_L	5.67	1.67	237.5	35.11	3.79	-0.438177	-0.84791	0.4033881	1.5517926	-0.610803
FG_WA18_R	5.67	1.67	237.5	35.11	3.79	-0.438177	-0.84791	0.4033881	1.5517926	-0.610803
FG_WA19_L	6.67	3.33	216.88	34.68	3.62	0.3507268	0.6499319	0.200405	1.4926345	-1.285697
FG_WA24_L	7	2.67	218.48	33.72	3.45	0.6110649	0.0544043	0.2161554	1.3605605	-1.960591
FG_WA24_R	7	2.67	218.48	33.72	3.45	0.6110649	0.0544043	0.2161554	1.3605605	-1.960591
FG_WA25_L	7.33	4.33	165.35	35.55	3.62	0.871403	1.5522465	-0.306856	1.6123265	-1.285697
FG_WA25_R	7.33	4.33	165.35	35.55	3.62	0.871403	1.5522465	-0.306856	1.6123265	-1.285697
FG_WA26_L	6	4	319.38	36.05	4.13	-0.177838	1.2544827	1.2094142	1.6811151	0.7389839
FG_WA26_R	6	4	319.38	36.05	4.13	-0.177838	1.2544827	1.2094142	1.6811151	0.7389839
