ID	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26	RawCoord27	RawCoord28	RawCoord29	RawCoord30	RawCoord31	RawCoord32	RawCoord33	RawCoord34	RawCoord35	RawCoord36	RawCoord37	RawCoord38																										
FG_AC36_L	2.71196	11.18117	2.98467	5.9239	6.22691	3.75736	7.89348	3.69675	8.19649	4.33308	7.2723	4.65124	7.01474	5.18152	5.72694	7.22685	9.04493	8.4389	10.56	7.48441	11.99931	9.13583	13.87799	8.12074	12.27202	6.09055	11.7872	5.21182	13.24166	6.30266	17.07477	8.2571	16.43845	9.30249	14.92338	10.72665	12.21142	11.52964																										
FG_AC36_R	16.05968	13.65073	17.46869	8.48436	14.39311	5.42393	12.78714	4.92395	12.28717	5.37847	13.05985	5.90875	13.1356	6.60568	13.90829	8.98433	10.31758	9.34794	9.31764	7.74197	7.34806	9.15098	5.77239	7.68137	7.63592	6.22691	8.46921	5.45423	6.69658	6.24206	2.84832	7.10565	3.18163	8.30255	4.27248	10.02972	6.71173	11.40843																										
FG_AC37_L	2.72711	11.9387	2.66651	5.99965	6.66628	3.95431	8.57526	3.80281	8.99948	4.45428	7.92378	4.8785	7.52987	5.56028	6.21176	7.77228	9.77216	9.06008	11.68114	7.87833	13.12045	9.65096	15.3173	8.54496	13.69618	6.33296	12.81744	5.40878	14.90823	6.72688	18.8474	8.39345	18.12017	9.66611	16.24149	11.27208	13.46892	12.22657																										
FG_AC37_R	15.72637	11.7569	16.18088	5.9239	12.39322	3.51494	10.45394	3.37859	10.09033	4.01492	11.07512	4.53004	11.33268	5.21182	12.69624	7.43896	9.16614	8.74192	7.25715	7.63592	5.87845	9.37824	3.78766	8.3177	5.34817	6.10571	6.0754	5.21182	4.13612	6.49962	0.72723	7.72682	1.13629	9.31764	2.89377	10.96906	5.57543	11.92355																										
FG_AC40_L	2.18169	12.52958	2.01503	7.45411	5.34817	5.28757	7.10565	5.01486	7.49956	5.59058	6.57538	5.90875	6.25721	6.60568	5.22697	8.71162	8.65101	9.74186	10.37819	8.56011	12.02961	10.10548	13.86284	9.10553	12.24172	7.07535	11.24177	6.15116	13.1053	7.0905	17.02932	8.3177	16.77176	9.78731	15.13549	11.31753	12.10536	12.30232																										
FG_KL01_L	2.9229	12.18389	2.41524	6.43038	5.69197	3.4921	7.69185	3.1075	8.10721	3.75362	7.1688	4.2459	6.90728	4.9074	5.92272	7.50724	9.86095	8.35335	11.50701	6.90728	13.44535	8.55334	15.32217	7.03035	12.96846	4.9074	12.18389	4.09206	14.18377	4.98432	18.9681	6.52269	18.55274	7.96875	16.86054	9.76865	13.84533	11.06088																										
FG_KL01_R	16.72208	13.15306	17.56819	7.27649	14.18377	4.3382	12.16851	3.81515	11.84545	4.35358	12.6454	4.87663	12.7377	5.5689	13.64534	8.3072	9.36867	9.16868	8.19951	7.59955	6.16886	9.21483	4.41512	7.53801	6.79959	5.63043	7.61493	4.84586	5.5689	5.61505	1.16916	7.03035	1.4153	8.46103	2.79983	10.21478	5.55351	11.55316																										
FG_KL02_L	2.61522	12.47618	2.0768	6.78421	5.58428	4.26128	7.53801	4.06129	7.81492	4.72279	6.89189	5.04585	6.55345	5.7535	5.30737	8.18413	8.93793	9.30714	10.58398	7.90722	12.35311	9.59943	14.09147	8.3072	12.29158	6.26116	11.84545	5.43044	13.58381	6.46115	17.9374	7.9226	17.39897	9.32252	15.8606	10.96858	13.26075	12.13774																										
FG_KL03_L	2.63061	12.69155	1.95373	6.93805	5.70735	4.46127	7.67646	4.21513	8.07644	4.96893	7.03035	5.24584	6.70729	5.93811	5.55351	8.32258	9.26099	9.3379	11.01473	8.09182	12.50695	9.67635	14.56836	8.27643	12.87616	6.5073	11.96852	5.63043	13.84533	6.55345	18.16815	8.04567	17.73741	9.35329	16.02982	10.93781	13.06076	12.41465																										
FG_KL03_R	16.19904	13.3992	17.61434	7.87645	13.16845	4.93816	11.38394	4.56896	10.95319	5.10739	11.75315	5.63043	11.90698	6.33808	12.99923	8.79947	9.32252	9.70711	7.53801	8.3995	6.01502	9.83018	4.1536	8.23028	5.87657	6.66114	6.73806	5.79965	4.98432	6.67652	0.76918	8.07644	1.32299	9.36867	2.72291	10.90704	5.33814	12.19927																										
